year,Region,number_of_deaths,average_population,calculated_rate,published_rate,rate_difference
2016,Alberta,602.0,4189191.5,14.37,14.3,0.07
2016,British Columbia,807.0,4846627.75,16.65,16.6,0.05
2016,Manitoba,88.0,1311168.75,6.71,6.7,0.01
2016,New Brunswick,34.0,762784.5,4.46,4.5,-0.04
2016,Newfoundland and Labrador,18.0,529485.0,3.4,3.4,0.0
2016,Northwest Territories,5.0,44551.25,11.22,11.2,0.02
2016,Nova Scotia,53.0,942262.75,5.62,5.6,0.02
2016,Nunavut,0.0,36886.75,0.0,0.0,0.0
2016,Ontario,867.0,13853924.0,6.26,6.2,0.06
2016,Prince Edward Island,5.0,146405.0,3.42,3.4,0.02
2016,Quebec,263.0,8217369.75,3.2,3.2,0.0
2016,Saskatchewan,83.0,1133608.25,7.32,7.3,0.02
2016,Yukon,7.0,38263.5,18.29,18.2,0.09
2017,Alberta,744.0,4232819.75,17.58,17.6,-0.02
2017,British Columbia,1300.0,4925006.5,26.4,26.3,0.1
2017,Manitoba,106.0,1331885.25,7.96,7.9,0.06
2017,New Brunswick,38.0,766049.25,4.96,5.0,-0.04
2017,Newfoundland and Labrador,33.0,529942.5,6.23,6.2,0.03
2017,Northwest Territories,1.0,44644.5,2.24,2.2,0.04
2017,Nova Scotia,64.0,951050.25,6.73,6.7,0.03
2017,Nunavut,0.0,37540.5,0.0,0.0,0.0
2017,Ontario,1265.0,14056827.0,9.0,9.0,0.0
2017,Prince Edward Island,5.0,149125.0,3.35,3.3,0.05
2017,Quebec,280.0,8284231.25,3.38,3.4,-0.02
2017,Saskatchewan,85.0,1145931.25,7.42,7.4,0.02
2017,Yukon,7.0,39286.75,17.82,17.7,0.12
2018,Alberta,805.0,4286099.0,18.78,18.8,-0.02
2018,British Columbia,1400.0,5009884.5,27.94,27.9,0.04
2018,Manitoba,93.0,1350414.25,6.89,6.9,-0.01
2018,New Brunswick,30.0,770035.75,3.9,3.9,0.0
2018,Newfoundland and Labrador,23.0,528998.75,4.35,4.4,-0.05
2018,Northwest Territories,2.0,44671.75,4.48,4.5,-0.02
2018,Nova Scotia,55.0,961061.0,5.72,5.7,0.02
2018,Nunavut,0.0,38153.75,0.0,0.0,0.0
2018,Ontario,1513.0,14297687.0,10.58,10.6,-0.02
2018,Prince Edward Island,8.0,151948.0,5.26,5.3,-0.04
2018,Quebec,211.0,8374735.0,2.52,2.5,0.02
2018,Saskatchewan,116.0,1155438.5,10.04,10.0,0.04
2018,Yukon,5.0,40211.5,12.43,12.4,0.03
2019,Alberta,626.0,4348515.0,14.4,14.4,0.0
2019,British Columbia,899.0,5100179.0,17.63,17.6,0.03
2019,Manitoba,62.0,1367580.0,4.53,4.5,0.03
2019,New Brunswick,35.0,776407.5,4.51,4.5,0.01
2019,Newfoundland and Labrador,17.0,528101.0,3.22,3.2,0.02
2019,Northwest Territories,1.0,44547.25,2.24,2.3,-0.06
2019,Nova Scotia,56.0,974448.75,5.75,5.7,0.05
2019,Nunavut,,38767.5,,,
2019,Ontario,1565.0,14545972.5,10.76,10.7,0.06
2019,Prince Edward Island,5.0,155276.75,3.22,3.2,0.02
2019,Quebec,213.0,8470680.75,2.51,2.5,0.01
2019,Saskatchewan,115.0,1163702.5,9.88,9.9,-0.02
2019,Yukon,4.0,41035.5,9.75,9.7,0.05
2020,Alberta,1192.0,4404480.25,27.06,27.0,0.06
2020,British Columbia,1562.0,5169146.25,30.22,30.2,0.02
2020,Manitoba,233.0,1379626.0,16.89,16.9,-0.01
2020,New Brunswick,45.0,782703.0,5.75,5.7,0.05
2020,Newfoundland and Labrador,25.0,527223.5,4.74,4.7,0.04
2020,Northwest Territories,3.0,44499.25,6.74,6.7,0.04
2020,Nova Scotia,49.0,987164.0,4.96,5.0,-0.04
